연도,과목,3수준학생수(중),2수준학생수(중),1수준학생수(중),3수준학생수(고),2수준학생수(고),1수준학생수(고)
2011,국어,518402,109539,8916,552039,82935,12959
2011,수학,410773,200610,25474,524178,95246,28509
2011,영어,450258,178320,8279,540376,84231,23326
2012,국어,516514,93687,6164,534424,92164,13441
2012,수학,411115,183677,21573,519064,93444,27521
2012,영어,455494,147928,12944,538904,84484,16641
2013,국어,517802,75776,7818,527600,85199,18302
2013,수학,398726,171398,31273,537698,65003,28400
2013,영어,450446,130503,20447,536436,76994,17671
2014,국어,499912,61272,11453,530352,74801,7971
2014,수학,382522,157475,32640,518090,61926,33109
2014,영어,430623,123117,18897,519316,57634,36174
2015,국어,436665,78240,13745,484024,96566,15498
2015,수학,349966,154366,24318,478659,84645,32785
2015,영어,372170,138506,17974,500119,69742,26228
2016,국어,437733,38381,9717,488935,75940,19277
2016,수학,331336,130688,23806,454470,98722,30960
2016,영어,362915,103482,19433,500618,53158,30376
2017,국어,390918,57556,11972,417981,110757,27828
2017,수학,311261,116493,32692,421877,79589,55100
2017,영어,334283,111428,14734,453601,80146,22819
2018,국어,361592,63601,19570,418493,76929,17437
2018,수학,277087,118307,49369,361053,98469,53337
2018,영어,292654,128537,23572,412339,68723,31797
2019,국어,357730,56098,17692,364515,87013,18814
2019,수학,264522,116079,50919,308074,119937,42331
2019,영어,313284,103996,14240,370629,82780,16932
2020,국어,330716,79828,28071,311148,104310,30312
2020,수학,253081,126760,58774,271029,114563,60179
2020,영어,280275,127198,31142,341906,65528,38336
2021,국어,334991,88250,27015,278626,123930,30766
2021,수학,250343,147684,52230,273426,98364,61532
2021,영어,285013,134177,26565,322825,68032,42466
